Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Dallas Cowboys,17,509,6317,1122,5.6,16,6,385,428,614,4397,36,10,6.7,229,468,1920,14,4.1,113,115,964,43,50.3,8.9,192.72
2,Miami Dolphins,17,496,6822,1053,6.5,25,10,360,393,566,4514,30,15,7.6,223,456,2308,27,5.1,113,97,767,24,43.5,13.4,128.90
3,San Francisco 49ers,17,491,6773,1024,6.6,18,6,383,336,491,4384,33,12,8.4,207,499,2389,27,4.8,147,101,933,29,45.3,10.1,268.60
4,Baltimore Ravens,17,483,6296,1076,5.9,19,12,360,328,494,3635,27,7,6.8,180,541,2661,26,4.9,145,102,955,35,43.1,9.6,138.81
5,Detroit Lions,17,461,6712,1137,5.9,23,11,375,408,606,4401,30,12,6.9,228,500,2311,27,4.6,124,97,843,23,40.6,11.8,191.13
6,Buffalo Bills,17,451,6366,1115,5.7,28,10,381,385,579,4154,29,18,6.9,199,512,2212,22,4.3,158,106,883,24,41.4,14.9,197.57
7,Philadelphia Eagles,17,433,6024,1112,5.4,28,12,377,369,563,3834,24,16,6.4,197,510,2190,22,4.3,149,95,785,31,42.9,15.3,100.97
8,Los Angeles Rams,17,404,6108,1094,5.6,18,5,351,361,583,4063,26,13,6.6,206,477,2045,18,4.3,110,89,720,35,41.1,9.2,133.32
9,New Orleans Saints,17,402,5732,1121,5.1,18,7,337,406,606,3990,28,11,6.2,199,480,1742,13,3.6,112,96,846,26,36.6,8.2,46.88
10,Indianapolis Colts,17,396,5725,1094,5.2,22,12,324,355,574,3666,18,10,6.0,178,479,2059,19,4.3,113,95,685,33,35.7,9.2,30.12
11,Cleveland Browns,17,396,5710,1187,4.8,37,14,325,355,624,3693,24,23,5.5,173,518,2017,15,3.9,121,115,897,31,32.9,16.2,-110.55
12,Green Bay Packers,17,383,5873,1052,5.6,18,7,338,374,581,3968,32,11,6.5,211,441,1905,10,4.3,101,105,856,26,39.7,9.2,156.77
13,Houston Texans,17,377,5820,1083,5.4,14,6,329,372,592,4173,27,8,6.5,215,444,1647,10,3.7,84,114,937,30,37.2,7.3,44.11
14,Jacksonville Jaguars,17,377,5772,1114,5.2,30,16,336,412,620,4126,22,14,6.2,199,453,1646,17,3.6,98,83,644,39,35.4,14.9,13.64
15,Kansas City Chiefs,17,371,5972,1080,5.5,28,11,350,421,635,4188,28,17,6.3,216,417,1784,9,4.3,107,96,845,27,39.3,14.6,87.96
16,Cincinnati Bengals,17,366,5422,1048,5.2,16,2,329,420,615,3895,27,14,5.9,208,383,1527,12,4.0,90,76,614,31,34.6,8.5,41.53
17,Seattle Seahawks,17,364,5490,995,5.5,17,5,317,371,575,3910,23,12,6.4,189,382,1580,11,4.1,93,111,954,35,38.8,8.4,62.33
18,Chicago Bears,17,360,5495,1097,5.0,25,10,322,321,513,3096,19,15,5.5,169,534,2399,16,4.5,137,99,853,16,38.0,13.0,-10.73
19,Denver Broncos,17,357,5072,1016,5.0,22,13,301,337,513,3262,28,9,5.8,154,451,1810,8,4.0,116,99,749,31,34.9,10.6,7.68
20,Tampa Bay Buccaneers,17,348,5321,1047,5.1,18,8,300,364,568,3812,28,10,6.3,188,439,1509,8,3.4,79,100,751,33,35.5,9.8,57.30
21,Los Angeles Chargers,17,346,5599,1106,5.1,21,13,319,409,632,3957,24,8,5.9,204,431,1642,11,3.8,89,79,725,26,34.7,10.5,-5.38
22,Minnesota Vikings,17,344,5912,1071,5.5,34,15,340,424,631,4359,30,19,6.4,220,393,1553,7,4.0,79,89,670,41,34.1,18.4,42.62
23,Las Vegas Raiders,17,332,4922,1010,4.9,24,6,292,348,557,3380,20,18,5.7,182,413,1542,11,3.7,83,75,629,27,31.8,13.4,-27.95
24,Arizona Cardinals,17,330,5509,1068,5.2,18,6,330,355,555,3144,18,12,5.3,173,471,2365,17,5.0,127,101,859,30,35.0,9.4,-2.99
25,Washington Commanders,17,329,5317,1060,5.0,32,11,321,407,636,3725,24,21,5.3,190,359,1592,14,4.4,99,87,701,32,29.4,15.2,-29.99
26,Atlanta Falcons,17,321,5683,1092,5.2,28,11,326,327,530,3524,17,17,6.2,181,522,2159,14,4.1,121,84,743,24,32.1,14.3,-32.52
27,Tennessee Titans,17,305,4913,1002,4.9,20,9,298,304,494,3067,14,11,5.5,158,444,1846,16,4.2,103,110,882,37,32.6,9.4,3.82
28,Pittsburgh Steelers,17,304,5173,1029,5.0,16,7,287,323,506,3163,13,9,5.8,153,487,2010,16,4.1,115,86,753,19,29.9,7.7,-16.68
29,New York Jets,17,268,4566,1053,4.3,33,18,260,356,601,2919,11,15,4.4,156,388,1647,7,4.2,77,124,945,27,26.0,13.9,-199.77
30,New York Giants,17,266,4760,1057,4.5,19,7,267,338,518,2886,15,12,4.8,141,454,1874,10,4.1,97,89,711,29,23.6,8.5,-130.06
31,New England Patriots,17,236,4696,1020,4.6,29,8,261,351,557,3069,16,21,5.1,153,415,1627,9,3.9,93,89,676,15,20.2,14.3,-157.57
32,Carolina Panthers,17,236,4510,1096,4.1,20,10,297,350,586,2741,13,10,4.2,150,445,1769,7,4.0,111,103,845,36,25.0,11.1,-135.03
